,Test,Die,VDD (V),,Freq (GHz),Comp. level (dB),Pin_comp(dBm),Pout_comp (dBm),Linear Gain,Id (mA),,,,,,,,,,,,,,,,
693862,PDB2,AD39,5,#,8,1,-0.94,15.01,16.95,61.217,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD39,5,#,12,1,-5.2,12.48,18.69,59.73,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD39,5,#,0.5,3,4.47,17.83,16.36,67.042,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD39,5,#,2,3,3.3,17.13,16.82,67.009,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD39,5,#,6,3,3.6,17.23,16.63,66.592,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD39,5,#,8,3,3.29,17.24,16.95,63.24,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD39,5,#,12,3,-0.54,15.14,18.69,61.1,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD40,5,#,0.5,1,0.67,15.99,16.31,64.157,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD40,5,#,2,1,-0.3,15.46,16.77,63.385,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD40,5,#,6,1,-0.19,15.37,16.57,63.116,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD40,5,#,8,1,-0.85,15.04,16.89,61.343,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD40,5,#,12,1,-5.07,12.56,18.64,59.807,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD40,5,#,0.5,3,4.54,17.86,16.31,67.251,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD40,5,#,2,3,3.36,17.13,16.77,67.152,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD40,5,#,6,3,3.67,17.24,16.57,66.758,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD40,5,#,8,3,3.37,17.27,16.89,63.486,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD40,5,#,12,3,-0.44,15.2,18.64,61.164,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
693862,PDB2,AD45,5,#,0.5,1,0.85,16.22,16.37,64.869,#,#,#,#,#,#,#,#,#,#,#,#,PASS,#,#,#
