,Test,Die,VDD (V),,,,,,,VG1 (V),IDD (A),,,,,,,,,,,,,,,
693862,TCC2,R15,5,#,#,#,#,#,#,-0.42,0.05789,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R16,5,#,#,#,#,#,#,-0.42,0.05851,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R17,5,#,#,#,#,#,#,-0.413125,0.05774,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R18,5,#,#,#,#,#,#,-0.4165625,0.05812,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R19,5,#,#,#,#,#,#,-0.40625,0.05747,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R20,5,#,#,#,#,#,#,-0.413125,0.05847,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R25,5,#,#,#,#,#,#,-0.40625,0.05764,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R26,5,#,#,#,#,#,#,-0.40625,0.058,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R27,5,#,#,#,#,#,#,-0.399375,0.05852,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R28,5,#,#,#,#,#,#,-0.40625,0.05782,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R29,5,#,#,#,#,#,#,-0.40625,0.05793,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R30,5,#,#,#,#,#,#,-0.4096875,0.05808,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R35,5,#,#,#,#,#,#,-0.4028125,0.05821,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R36,5,#,#,#,#,#,#,-0.40625,0.05787,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R37,5,#,#,#,#,#,#,-0.40625,0.05762,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R38,5,#,#,#,#,#,#,-0.40625,0.05836,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R39,5,#,#,#,#,#,#,-0.4028125,0.05782,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R40,5,#,#,#,#,#,#,-0.4028125,0.05811,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R45,5,#,#,#,#,#,#,-0.385625,0.05854,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
