,RK,NAME,POS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,GAME LOG PAGE
23,144,Jared Dudley,SF,BKN,59,20.7,-0.67,0.75,0.08,2.35,http://www.espn.com/nba/player/gamelog/_/id/3201/jared-dudley
24,145,Ryan Arcidiacono,PG,CHI,81,24.2,0.69,-0.63,0.06,3.85,http://www.espn.com/nba/player/gamelog/_/id/2991047/ryan-arcidiacono
25,146,Richaun Holmes,PF,PHX,70,16.9,-1.48,1.54,0.06,2.34,http://www.espn.com/nba/player/gamelog/_/id/2993370/richaun-holmes
26,147,Ryan Broekhoff,SG,DAL,42,10.8,-0.19,0.23,0.04,0.89,http://www.espn.com/nba/player/gamelog/_/id/2489693/ryan-broekhoff
27,148,Alex Caruso,SG,LAL,25,21.2,-0.72,0.76,0.04,1.02,http://www.espn.com/nba/player/gamelog/_/id/2991350/alex-caruso
28,149,Lauri Markkanen,PF,CHI,52,32.3,0.29,-0.26,0.03,3.25,http://www.espn.com/nba/player/gamelog/_/id/4066336/lauri-markkanen
29,150,Pau Gasol,C,MIL/SA,30,12.0,-2.37,2.38,0.01,0.69,http://www.espn.com/nba/player/gamelog/_/id/996/pau-gasol
30,151,Frank Kaminsky,PF,CHA,47,16.1,-0.17,0.18,0.01,1.51,http://www.espn.com/nba/player/gamelog/_/id/2579294/frank-kaminsky
31,152,Bogdan Bogdanovic,SG,SAC,70,27.8,0.87,-0.86,0.01,3.96,http://www.espn.com/nba/player/gamelog/_/id/3037789/bogdan-bogdanovic
32,153,Kyle Kuzma,PF,LAL,70,33.1,0.77,-0.76,0.01,4.79,http://www.espn.com/nba/player/gamelog/_/id/3134907/kyle-kuzma
33,154,Mitchell Robinson,C,NY,66,20.6,-0.98,0.98,0.00,2.62,http://www.espn.com/nba/player/gamelog/_/id/4351852/mitchell-robinson
34,155,Tyler Zeller,C,ATL/MEM,6,15.5,-1.67,1.63,-0.04,0.18,http://www.espn.com/nba/player/gamelog/_/id/6631/tyler-zeller
35,156,Nicolas Batum,SF,CHA,75,31.4,-0.11,0.05,-0.06,4.59,http://www.espn.com/nba/player/gamelog/_/id/3416/nicolas-batum
36,157,Josh Hart,SG,LAL,67,25.6,-1.78,1.72,-0.06,3.51,http://www.espn.com/nba/player/gamelog/_/id/3062679/josh-hart
37,158,Jonas Jerebko,PF,GS,73,16.7,0.38,-0.46,-0.08,2.34,http://www.espn.com/nba/player/gamelog/_/id/3998/jonas-jerebko
38,159,Seth Curry,SG,POR,74,18.9,0.33,-0.43,-0.10,2.53,http://www.espn.com/nba/player/gamelog/_/id/2326307/seth-curry
39,160,Lou Williams,SG,LAC,75,26.6,3.44,-3.55,-0.11,3.83,http://www.espn.com/nba/player/gamelog/_/id/2799/lou-williams
0,161,Taj Gibson,PF,MIN,70,24.1,-0.43,0.30,-0.13,3.23,http://www.espn.com/nba/player/gamelog/_/id/3986/taj-gibson
1,162,Joe Harris,SF,BKN,76,30.2,1.55,-1.70,-0.15,4.35,http://www.espn.com/nba/player/gamelog/_/id/2528794/joe-harris
